epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.806,1.41691,2.32318,1.39695,0.80957,0.61396,0.71101,0.461,1.30384,1.25056,1.39387,0.00332978,0.00332978,0.070032
2,296.401,1.2538,1.25942,1.25382,0.79253,0.66852,0.73931,0.49423,1.23784,1.13202,1.34776,0.00663013,0.00663013,0.039999
3,439.867,1.28656,1.21802,1.26947,0.63615,0.56662,0.58867,0.37432,1.34082,1.48118,1.43491,0.00989748,0.00989748,0.00993302
4,583.648,1.28818,1.17652,1.27787,0.78111,0.71255,0.76644,0.49695,1.27261,1.07142,1.37222,0.0098515,0.0098515,0.0098515
5,727.501,1.22223,1.05332,1.24197,0.85089,0.75528,0.82517,0.55552,1.19739,0.92322,1.31217,0.009802,0.009802,0.009802
6,870.764,1.17615,0.97262,1.21485,0.84397,0.7969,0.85237,0.58337,1.13383,0.82042,1.25997,0.0097525,0.0097525,0.0097525
7,1014.35,1.14431,0.9217,1.19566,0.85624,0.79567,0.86315,0.60133,1.11585,0.77527,1.25003,0.009703,0.009703,0.009703
8,1157.75,1.11823,0.87724,1.17825,0.87676,0.80203,0.8716,0.60834,1.08158,0.77632,1.2305,0.0096535,0.0096535,0.0096535
9,1301.27,1.09898,0.85441,1.17126,0.89895,0.82212,0.89235,0.63339,1.04469,0.70373,1.20251,0.009604,0.009604,0.009604
10,1445.06,1.08226,0.82541,1.15761,0.90136,0.83212,0.90042,0.64384,1.04357,0.68044,1.19472,0.0095545,0.0095545,0.0095545
11,1588.76,1.06446,0.80868,1.14865,0.87501,0.84342,0.89921,0.64765,1.03598,0.67896,1.1904,0.009505,0.009505,0.009505
12,1739.93,1.05973,0.7959,1.14547,0.90052,0.84772,0.90386,0.658,1.01307,0.65466,1.17638,0.0094555,0.0094555,0.0094555
13,1883.67,1.04806,0.7784,1.14052,0.90464,0.84223,0.91138,0.66341,1.01141,0.63766,1.17325,0.009406,0.009406,0.009406
14,2027.51,1.04042,0.76581,1.1359,0.90428,0.84989,0.90954,0.66707,0.98846,0.61931,1.16559,0.0093565,0.0093565,0.0093565
15,2171.1,1.02791,0.74628,1.12695,0.90677,0.85722,0.91684,0.67804,0.98478,0.60996,1.15414,0.009307,0.009307,0.009307
16,2314.15,1.02518,0.74344,1.12774,0.9084,0.86797,0.91785,0.67873,0.97996,0.59531,1.15289,0.0092575,0.0092575,0.0092575
17,2457.76,1.01689,0.73375,1.12469,0.89432,0.87269,0.9208,0.68777,0.96588,0.58711,1.14521,0.009208,0.009208,0.009208
18,2601.29,1.0068,0.72562,1.11502,0.90134,0.87677,0.92658,0.69484,0.94814,0.57455,1.13478,0.0091585,0.0091585,0.0091585
19,2745.52,1.0023,0.71649,1.11281,0.91039,0.87104,0.91999,0.69247,0.95455,0.56703,1.13895,0.009109,0.009109,0.009109
20,2889.33,0.997,0.70874,1.11105,0.90955,0.87344,0.92528,0.6959,0.94218,0.56106,1.13388,0.0090595,0.0090595,0.0090595
21,3033.24,0.9962,0.7029,1.1074,0.91482,0.87391,0.92952,0.70083,0.93656,0.55431,1.12484,0.00901,0.00901,0.00901
22,3176.5,0.98497,0.69855,1.10636,0.90888,0.87703,0.92779,0.70301,0.93309,0.55305,1.12412,0.0089605,0.0089605,0.0089605
23,3320.44,0.98396,0.69213,1.102,0.9206,0.87664,0.9299,0.706,0.93506,0.5486,1.12132,0.008911,0.008911,0.008911
24,3463.95,0.97915,0.68732,1.10093,0.91083,0.87741,0.92823,0.70422,0.93099,0.54685,1.12035,0.0088615,0.0088615,0.0088615
25,3607.69,0.97965,0.6882,1.09962,0.91248,0.87384,0.92971,0.70686,0.92821,0.54525,1.11943,0.008812,0.008812,0.008812
26,3751.3,0.9737,0.67783,1.09647,0.90208,0.88702,0.92946,0.70586,0.92617,0.53861,1.11609,0.0087625,0.0087625,0.0087625
27,3894.9,0.96213,0.66615,1.09151,0.91106,0.88459,0.93207,0.70857,0.92616,0.53718,1.11592,0.008713,0.008713,0.008713
