epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9564,0.89792,1.56768,1.22509,0.86918,0.57801,0.61753,0.45368,0.73988,0.69121,1.10791,0.00332402,0.00332402,0.0700838
2,72.5006,0.71583,0.7163,1.06427,0.80501,0.63838,0.66909,0.48879,0.6644,0.5067,1.01101,0.0066244,0.0066244,0.0400508
3,106.347,0.73641,0.66672,1.06532,0.82023,0.53,0.59481,0.40536,0.80121,0.68533,1.11851,0.00989178,0.00989178,0.00998489
4,140.436,0.74088,0.63472,1.06632,0.83216,0.62742,0.66887,0.48588,0.68246,0.56031,1.04121,0.0098515,0.0098515,0.0098515
5,174.264,0.70303,0.56552,1.04471,0.84754,0.6695,0.71788,0.53644,0.62695,0.44153,0.99038,0.009802,0.009802,0.009802
6,208.408,0.68121,0.52454,1.0381,0.76802,0.7174,0.75292,0.55103,0.66835,0.45633,1.01992,0.0097525,0.0097525,0.0097525
7,242.282,0.65764,0.49154,1.02409,0.89782,0.68272,0.7572,0.57049,0.61141,0.40937,0.99446,0.009703,0.009703,0.009703
8,276.239,0.64418,0.46662,1.01561,0.83107,0.7375,0.78636,0.57482,0.60876,0.3839,0.98892,0.0096535,0.0096535,0.0096535
9,310.232,0.63551,0.45095,1.01305,0.8054,0.77019,0.7903,0.58692,0.58697,0.37804,0.96994,0.009604,0.009604,0.009604
10,344.219,0.62174,0.43405,1.00437,0.87825,0.75785,0.79037,0.5869,0.60037,0.38978,0.95205,0.0095545,0.0095545,0.0095545
11,378.299,0.61581,0.42668,1.00184,0.84497,0.73543,0.77198,0.57226,0.59122,0.4119,0.96529,0.009505,0.009505,0.009505
12,412.275,0.60741,0.41545,0.99919,0.81067,0.75817,0.79323,0.59276,0.57978,0.35979,0.97311,0.0094555,0.0094555,0.0094555
13,446.158,0.60628,0.40821,0.99748,0.90144,0.73961,0.81848,0.60813,0.5782,0.38663,0.96758,0.009406,0.009406,0.009406
14,480.1,0.597,0.40175,0.9943,0.87518,0.76228,0.81645,0.61318,0.57345,0.31778,0.96509,0.0093565,0.0093565,0.0093565
15,514.138,0.59917,0.39849,0.99268,0.85365,0.81804,0.8319,0.61934,0.57427,0.33597,0.95949,0.009307,0.009307,0.009307
16,548.209,0.58804,0.3866,0.98461,0.84887,0.77234,0.84084,0.62183,0.56399,0.33964,0.94643,0.0092575,0.0092575,0.0092575
17,581.955,0.5849,0.38275,0.98153,0.87424,0.80654,0.84208,0.62821,0.55924,0.35345,0.93955,0.009208,0.009208,0.009208
18,615.66,0.5823,0.37548,0.97448,0.91094,0.77388,0.81815,0.62364,0.56103,0.33204,0.93197,0.0091585,0.0091585,0.0091585
19,649.352,0.57687,0.37268,0.97736,0.89422,0.77148,0.8312,0.62682,0.55235,0.32003,0.94217,0.009109,0.009109,0.009109
20,683.158,0.57173,0.36677,0.97713,0.82641,0.79414,0.84406,0.63254,0.55793,0.3174,0.95104,0.0090595,0.0090595,0.0090595
21,716.87,0.57433,0.36846,0.97804,0.84037,0.85068,0.85933,0.64593,0.54933,0.33172,0.94383,0.00901,0.00901,0.00901
22,750.558,0.57188,0.36212,0.97324,0.85293,0.8332,0.87155,0.64332,0.54716,0.30597,0.93012,0.0089605,0.0089605,0.0089605
23,784.398,0.56421,0.35521,0.96911,0.86316,0.83616,0.85994,0.64516,0.54442,0.29494,0.94267,0.008911,0.008911,0.008911
24,818.211,0.56389,0.35535,0.97242,0.93212,0.77568,0.84629,0.65171,0.53981,0.31926,0.94013,0.0088615,0.0088615,0.0088615
25,852.238,0.56214,0.35523,0.97248,0.86594,0.85719,0.87556,0.65837,0.53902,0.3088,0.94474,0.008812,0.008812,0.008812
26,886.285,0.56095,0.34863,0.96927,0.85111,0.84135,0.85457,0.64189,0.54733,0.31387,0.94685,0.0087625,0.0087625,0.0087625
27,920.246,0.55726,0.34624,0.96968,0.8691,0.82521,0.87148,0.65993,0.54235,0.31063,0.93706,0.008713,0.008713,0.008713
28,954.191,0.55927,0.34782,0.96711,0.86513,0.82908,0.87154,0.65965,0.5333,0.32165,0.93008,0.0086635,0.0086635,0.0086635
29,987.953,0.55682,0.34783,0.97135,0.90522,0.81543,0.87482,0.66181,0.54352,0.30875,0.94406,0.008614,0.008614,0.008614
30,1021.76,0.55136,0.34123,0.96863,0.89914,0.82385,0.87436,0.66153,0.54101,0.28205,0.94484,0.0085645,0.0085645,0.0085645
31,1055.51,0.54661,0.33632,0.96434,0.87793,0.84192,0.8871,0.66279,0.53361,0.29759,0.90659,0.008515,0.008515,0.008515
32,1089.34,0.54781,0.33363,0.9613,0.89671,0.84523,0.86909,0.67174,0.5288,0.28727,0.92704,0.0084655,0.0084655,0.0084655
33,1123.04,0.54379,0.33124,0.96286,0.89237,0.84864,0.8761,0.66833,0.52348,0.28352,0.93117,0.008416,0.008416,0.008416
34,1156.95,0.54331,0.33132,0.95801,0.89403,0.83636,0.88911,0.67156,0.52871,0.28474,0.91826,0.0083665,0.0083665,0.0083665
35,1190.82,0.54026,0.32805,0.95474,0.91059,0.83775,0.88405,0.66988,0.51801,0.29624,0.90453,0.008317,0.008317,0.008317
36,1224.67,0.54153,0.32974,0.95858,0.9059,0.84116,0.88771,0.6666,0.52967,0.28849,0.92498,0.0082675,0.0082675,0.0082675
37,1258.77,0.54145,0.3281,0.95942,0.90998,0.84141,0.90012,0.68366,0.53149,0.29063,0.9417,0.008218,0.008218,0.008218
38,1292.66,0.53881,0.32392,0.95566,0.88748,0.85312,0.89399,0.68233,0.51913,0.27562,0.91586,0.0081685,0.0081685,0.0081685
39,1326.45,0.53699,0.32221,0.95519,0.88976,0.85573,0.89607,0.68296,0.52367,0.27962,0.92716,0.008119,0.008119,0.008119
40,1360.25,0.53346,0.32138,0.95546,0.87101,0.86279,0.89801,0.67912,0.52238,0.28619,0.92275,0.0080695,0.0080695,0.0080695
41,1394.14,0.53632,0.32373,0.95434,0.90777,0.87893,0.91094,0.68862,0.51298,0.27541,0.91982,0.00802,0.00802,0.00802
42,1428.05,0.53461,0.32026,0.95104,0.87473,0.87516,0.89855,0.68547,0.52358,0.28876,0.91993,0.0079705,0.0079705,0.0079705
43,1461.83,0.53328,0.31837,0.95186,0.91418,0.8673,0.90945,0.68195,0.51803,0.27897,0.91919,0.007921,0.007921,0.007921
44,1495.45,0.53263,0.31748,0.95307,0.92283,0.86203,0.90602,0.69017,0.51176,0.27462,0.91628,0.0078715,0.0078715,0.0078715
45,1529.23,0.53186,0.31704,0.95086,0.90112,0.90258,0.91674,0.69171,0.52066,0.28198,0.91954,0.007822,0.007822,0.007822
46,1563.05,0.52942,0.31766,0.95309,0.88147,0.89842,0.90898,0.69457,0.51547,0.27771,0.92521,0.0077725,0.0077725,0.0077725
47,1596.81,0.52564,0.31408,0.94818,0.9074,0.88185,0.91361,0.6985,0.51429,0.27886,0.91232,0.007723,0.007723,0.007723
48,1630.8,0.52681,0.31042,0.95008,0.89882,0.88395,0.90755,0.69287,0.5164,0.27279,0.92404,0.0076735,0.0076735,0.0076735
49,1664.61,0.52394,0.31032,0.94798,0.9017,0.8878,0.91891,0.70559,0.51843,0.2764,0.9276,0.007624,0.007624,0.007624
50,1698.42,0.5283,0.31165,0.95055,0.87682,0.89704,0.90904,0.69684,0.51825,0.27474,0.93106,0.0075745,0.0075745,0.0075745
51,1732.42,0.52364,0.30967,0.94542,0.89414,0.88267,0.91313,0.6954,0.51972,0.29183,0.9163,0.007525,0.007525,0.007525
52,1766.14,0.52155,0.30974,0.94606,0.8853,0.87378,0.905,0.69647,0.51235,0.27525,0.90689,0.0074755,0.0074755,0.0074755
53,1799.95,0.52585,0.30809,0.94888,0.91426,0.85672,0.91268,0.69493,0.51349,0.26837,0.91888,0.007426,0.007426,0.007426
54,1833.76,0.51976,0.30618,0.9458,0.91026,0.88853,0.92062,0.70799,0.51244,0.27239,0.92109,0.0073765,0.0073765,0.0073765
55,1867.54,0.51985,0.305,0.94612,0.92574,0.87261,0.92148,0.70689,0.50851,0.2638,0.91516,0.007327,0.007327,0.007327
56,1901.41,0.5202,0.30677,0.94386,0.87741,0.8991,0.91187,0.70782,0.51009,0.26143,0.91329,0.0072775,0.0072775,0.0072775
57,1935.1,0.51887,0.30229,0.9443,0.93299,0.86616,0.91429,0.71016,0.50993,0.25673,0.90936,0.007228,0.007228,0.007228
58,1968.77,0.51966,0.3041,0.94645,0.91568,0.87461,0.91923,0.70539,0.5096,0.26599,0.91633,0.0071785,0.0071785,0.0071785
59,2002.86,0.51758,0.30543,0.94353,0.9094,0.87839,0.91566,0.70561,0.50861,0.27301,0.91513,0.007129,0.007129,0.007129
60,2036.8,0.51616,0.30017,0.94256,0.9183,0.87478,0.91816,0.7084,0.50918,0.28411,0.90965,0.0070795,0.0070795,0.0070795
61,2070.7,0.51631,0.30009,0.94431,0.92129,0.86619,0.9159,0.70648,0.51011,0.28423,0.91315,0.00703,0.00703,0.00703
62,2104.46,0.50997,0.29698,0.94179,0.90691,0.86584,0.91472,0.70699,0.50688,0.28138,0.90478,0.0069805,0.0069805,0.0069805
63,2138.13,0.5136,0.29801,0.9386,0.89911,0.8736,0.91514,0.7117,0.50569,0.27469,0.89593,0.006931,0.006931,0.006931
64,2172.08,0.51306,0.29568,0.94043,0.89843,0.88312,0.91891,0.7083,0.50457,0.26995,0.89577,0.0068815,0.0068815,0.0068815
65,2205.91,0.5144,0.29819,0.94078,0.90232,0.86595,0.90996,0.70177,0.50561,0.26964,0.89081,0.006832,0.006832,0.006832
66,2239.72,0.51003,0.29565,0.94534,0.90727,0.87602,0.91504,0.70311,0.50683,0.26592,0.90609,0.0067825,0.0067825,0.0067825
67,2273.53,0.51311,0.29769,0.94032,0.91228,0.87162,0.91956,0.70629,0.50604,0.26275,0.90223,0.006733,0.006733,0.006733
68,2307.33,0.50969,0.2929,0.94071,0.90931,0.88081,0.92123,0.70949,0.50365,0.25912,0.90846,0.0066835,0.0066835,0.0066835
69,2340.92,0.50908,0.29329,0.9399,0.90744,0.87416,0.92326,0.71094,0.50227,0.25802,0.91044,0.006634,0.006634,0.006634
70,2374.77,0.5102,0.29568,0.93838,0.93184,0.88307,0.92678,0.71303,0.50078,0.25644,0.90974,0.0065845,0.0065845,0.0065845
71,2408.73,0.50572,0.2907,0.93583,0.93827,0.88091,0.92805,0.71316,0.50004,0.25619,0.90759,0.006535,0.006535,0.006535
72,2442.71,0.5048,0.29053,0.93278,0.93244,0.88765,0.92606,0.71297,0.50021,0.25843,0.90495,0.0064855,0.0064855,0.0064855
73,2476.42,0.50688,0.29001,0.93283,0.93133,0.88659,0.9266,0.70971,0.50161,0.26174,0.90432,0.006436,0.006436,0.006436
