epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1972.61,1.01888,11.6831,0.62405,0.8559,1.33358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00995413,0.00331804,0.00995413,0.00331804,0.00995413,0.00331804,0.00995413,0.00331804
2,3780.2,0.71902,10.3753,0.54735,0.42368,1.04633,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197566,0.00658553,0.0197566,0.00658553,0.0197566,0.00658553,0.0197566,0.00658553
3,5486.61,0.73824,9.59765,0.53915,0.44351,1.05277,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029361,0.00978701,0.029361,0.00978701,0.029361,0.00978701,0.029361,0.00978701
4,7144.1,0.75029,8.67683,0.52155,0.4618,1.05367,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,8844.19,0.71738,7.87949,0.50005,0.44342,1.03684,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,10532.3,0.7034,7.36921,0.477,0.42425,1.0301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,12245.2,0.68401,6.98692,0.4585,0.4099,1.01582,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,14006.9,0.66681,6.67285,0.44478,0.39472,1.00977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,15732.6,0.66659,6.51363,0.43066,0.39555,1.00887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,17461.9,0.64458,6.29052,0.41742,0.3799,0.99627,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,19224.7,0.6445,6.1742,0.40683,0.38416,0.99604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,21215.3,0.63457,6.03161,0.39892,0.3724,0.99324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,23762.5,0.62721,5.93844,0.39078,0.36789,0.98776,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,28490.7,0.61399,5.7769,0.37793,0.36122,0.98335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
