epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9083,1.30801,10.1328,0.63508,1.42209,1.41026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000660066,0.000660066,0.000660066
2,79.187,0.85845,7.65664,0.42752,0.61593,1.02424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013136,0.0013136,0.0013136
3,116.476,0.81877,6.16126,0.35127,0.61282,1.00698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195393,0.00195393,0.00195393
4,153.065,0.81028,5.29097,0.32299,0.59052,0.99023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019406,0.0019406,0.0019406
5,189.375,0.77271,4.33044,0.31691,0.55761,0.9834,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019208,0.0019208,0.0019208
6,225.371,0.69387,3.63808,0.29976,0.50407,0.94711,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001901,0.001901,0.001901
7,263.32,0.6713,3.24144,0.3553,0.48869,0.94201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018812,0.0018812,0.0018812
8,301.856,0.69123,3.27474,0.33334,0.50153,0.94423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018614,0.0018614,0.0018614
9,347.234,0.63798,2.73466,0.30942,0.45909,0.92672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
10,387.136,0.65367,2.67462,0.31628,0.46834,0.92563,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018218,0.0018218,0.0018218
11,425.855,0.62241,2.45546,0.32003,0.43486,0.91553,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
12,464.398,0.57936,2.1728,0.29726,0.40793,0.8955,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017822,0.0017822,0.0017822
13,503.152,0.61298,2.16083,0.31156,0.42891,0.90462,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
14,541.917,0.58302,1.99928,0.3005,0.41608,0.90399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017426,0.0017426,0.0017426
15,580.571,0.56783,1.9193,0.29484,0.40374,0.89734,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
16,618.924,0.54936,1.71721,0.30025,0.38775,0.88353,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001703,0.001703,0.001703
17,655.674,0.5613,1.67203,0.2754,0.40702,0.89051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
18,691.829,0.5317,1.66759,0.26994,0.39362,0.8793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016634,0.0016634,0.0016634
19,727.992,0.52376,1.63835,0.26097,0.38352,0.87877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
20,764.254,0.53596,1.58854,0.26104,0.38488,0.88285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016238,0.0016238,0.0016238
21,800.529,0.51516,1.52473,0.2553,0.37016,0.87101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
22,836.706,0.5131,1.50554,0.23992,0.36988,0.87619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015842,0.0015842,0.0015842
23,873.105,0.5095,1.41808,0.22969,0.36522,0.86649,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
24,909.35,0.52762,1.46434,0.23048,0.36547,0.87867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015446,0.0015446,0.0015446
25,945.529,0.49706,1.38303,0.2337,0.36313,0.87885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
26,981.847,0.498,1.33744,0.22608,0.36141,0.87132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001505,0.001505,0.001505
27,1018.14,0.49889,1.37797,0.2317,0.35314,0.86517,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
28,1054.75,0.51594,1.37529,0.21058,0.36748,0.87834,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014654,0.0014654,0.0014654
